user_id,arrays_accuracy,arrays_avg_attempts,strings_accuracy,strings_avg_attempts,dp_accuracy,dp_avg_attempts,trees_accuracy,trees_avg_attempts,graphs_accuracy,graphs_avg_attempts,recursion_accuracy,recursion_avg_attempts,stack/queue_accuracy,stack/queue_avg_attempts,binary_search_accuracy,binary_search_avg_attempts
1,0.612,2.94,0.478,2.8,0.442,3.21,0.619,3.0,0.537,3.59,0.609,2.96,0.667,2.19,0.588,3.53
2,0.356,3.09,0.565,3.28,0.362,3.02,0.63,2.76,0.333,3.38,0.333,3.1,0.632,3.47,0.632,3.05
3,0.604,3.1,0.5,3.26,0.39,3.29,0.737,3.08,0.41,3.08,0.688,3.09,0.462,2.31,0.619,3.19
4,0.652,3.39,0.643,3.33,0.425,3.0,0.698,3.16,0.425,3.15,0.613,3.65,0.5,2.95,0.667,3.72
5,0.533,3.04,0.512,3.46,0.286,2.55,0.66,3.19,0.513,2.97,0.517,3.31,0.5,3.5,0.421,3.42
6,0.452,2.93,0.615,2.87,0.571,3.31,0.564,3.13,0.395,2.82,0.455,3.09,0.429,2.86,0.2,2.67
7,0.581,3.09,0.5,3.04,0.5,3.43,0.568,2.32,0.472,2.69,0.48,2.88,0.7,2.15,0.389,3.44
8,0.574,2.7,0.512,3.29,0.373,2.92,0.644,2.93,0.525,3.1,0.562,3.44,0.522,3.43,0.474,3.11
9,0.632,3.42,0.51,2.76,0.417,2.85,0.542,3.44,0.541,2.97,0.542,3.04,0.6,3.13,0.435,2.91
10,0.6,2.84,0.5,3.38,0.468,3.13,0.542,2.96,0.583,3.86,0.68,3.6,0.65,3.7,0.474,2.74
11,0.6,3.84,0.605,2.71,0.5,2.88,0.532,2.62,0.452,2.74,0.655,2.97,0.615,2.54,0.6,4.15
12,0.619,3.29,0.522,2.67,0.48,2.5,0.574,3.64,0.5,3.14,0.6,3.68,0.647,3.53,0.632,4.05
13,0.436,3.18,0.5,2.62,0.5,3.08,0.604,3.43,0.628,2.93,0.441,3.53,0.706,4.65,0.5,2.6
14,0.478,3.2,0.578,3.2,0.359,2.95,0.769,3.21,0.421,2.89,0.517,2.52,0.571,3.52,0.48,3.0
15,0.5,3.33,0.511,3.06,0.435,2.85,0.65,2.98,0.514,3.3,0.452,3.03,0.643,2.86,0.737,3.53
16,0.522,3.8,0.532,3.49,0.524,2.48,0.685,3.0,0.424,3.0,0.652,3.17,0.545,2.55,0.533,2.33
17,0.587,3.59,0.638,3.34,0.386,3.05,0.565,2.98,0.541,3.32,0.455,3.32,0.609,2.65,0.529,3.12
18,0.595,3.0,0.49,3.29,0.375,3.38,0.622,2.64,0.529,3.32,0.559,3.0,0.7,3.25,0.438,2.81
19,0.469,2.98,0.556,3.11,0.478,2.85,0.651,3.26,0.368,3.13,0.56,2.84,0.556,3.0,0.222,3.28
20,0.7,2.76,0.512,2.88,0.415,3.2,0.66,2.76,0.425,4.03,0.467,2.9,0.714,2.86,0.438,2.12
21,0.478,3.04,0.535,3.4,0.423,2.96,0.636,2.95,0.541,2.84,0.48,3.12,0.529,2.76,0.389,3.17
22,0.619,2.9,0.721,2.7,0.513,3.08,0.553,3.28,0.514,3.22,0.5,3.0,0.55,3.05,0.583,2.5
23,0.5,3.64,0.587,3.04,0.357,3.02,0.646,3.73,0.475,3.22,0.538,3.35,0.684,2.47,0.529,3.65
24,0.5,3.25,0.405,3.4,0.378,3.42,0.658,2.66,0.385,3.36,0.607,2.93,0.75,3.05,0.364,2.68
25,0.432,2.82,0.415,3.27,0.468,2.89,0.604,2.88,0.615,3.33,0.5,3.42,0.667,3.78,0.368,3.26
26,0.565,3.04,0.526,3.16,0.422,3.02,0.542,3.17,0.525,3.28,0.593,2.7,0.714,3.33,0.471,3.41
27,0.568,2.59,0.609,3.26,0.5,2.59,0.531,3.35,0.525,2.95,0.682,3.14,0.75,2.95,0.647,2.94
28,0.727,3.33,0.565,3.39,0.419,3.12,0.4,3.5,0.4,2.9,0.565,2.96,0.471,3.24,0.556,3.22
29,0.604,2.6,0.56,3.0,0.383,2.66,0.625,3.45,0.525,2.82,0.571,3.81,0.55,3.75,0.25,4.06
30,0.717,3.72,0.583,2.89,0.531,3.16,0.596,3.3,0.55,2.62,0.68,2.76,0.588,3.53,0.773,3.95
31,0.5,3.02,0.49,2.53,0.426,2.98,0.652,2.43,0.471,2.82,0.64,2.92,0.389,2.89,0.368,3.37
32,0.5,3.4,0.559,3.44,0.405,2.93,0.646,3.31,0.425,3.15,0.467,3.33,0.5,3.21,0.5,2.92
33,0.545,3.5,0.512,3.44,0.545,3.27,0.5,3.25,0.391,2.98,0.522,3.39,0.429,3.29,0.6,3.0
34,0.5,3.4,0.761,3.26,0.409,3.09,0.561,3.17,0.629,3.46,0.414,3.28,0.647,2.65,0.409,2.82
35,0.487,2.85,0.439,3.07,0.432,3.14,0.62,2.86,0.487,3.28,0.429,2.86,0.824,3.47,0.417,2.96
36,0.652,3.0,0.543,3.52,0.568,3.09,0.711,2.96,0.526,3.11,0.724,3.17,0.353,3.12,0.471,3.35
37,0.644,3.22,0.625,3.44,0.388,2.98,0.756,3.84,0.452,3.19,0.52,2.84,0.533,3.67,0.583,2.83
38,0.553,3.87,0.675,3.4,0.478,3.28,0.614,2.95,0.386,2.57,0.792,3.58,0.571,3.29,0.438,3.25
39,0.571,3.26,0.578,3.22,0.348,2.8,0.667,2.69,0.5,3.41,0.63,2.44,0.636,3.64,0.435,2.78
40,0.575,3.2,0.548,3.12,0.569,3.78,0.725,3.38,0.349,2.95,0.536,3.18,0.706,3.18,0.476,4.19
41,0.561,2.59,0.619,3.33,0.4,3.07,0.689,3.42,0.512,2.9,0.5,3.85,0.682,2.82,0.4,2.95
42,0.63,3.11,0.524,3.17,0.458,2.71,0.562,2.98,0.568,2.43,0.333,2.42,0.556,3.17,0.684,2.68
43,0.489,3.0,0.489,3.15,0.429,2.84,0.575,3.05,0.512,3.0,0.429,2.81,0.611,3.94,0.263,2.58
44,0.674,3.09,0.415,3.3,0.449,3.29,0.65,3.22,0.333,3.03,0.538,2.0,0.769,2.62,0.625,2.38
45,0.439,3.22,0.5,3.02,0.429,3.19,0.608,2.9,0.484,3.19,0.379,2.97,0.556,3.0,0.438,3.56
46,0.478,3.07,0.5,3.0,0.512,2.51,0.644,2.93,0.548,3.07,0.724,3.17,0.8,3.75,0.381,2.76
47,0.457,3.02,0.537,3.02,0.404,2.81,0.622,3.16,0.432,2.89,0.5,3.29,0.588,3.82,0.571,3.0
48,0.68,3.08,0.522,2.65,0.5,3.5,0.732,3.61,0.593,3.11,0.594,3.09,0.5,2.82,0.562,3.81
49,0.467,2.91,0.617,3.23,0.426,3.26,0.622,2.56,0.529,2.76,0.391,3.39,0.545,2.95,0.474,3.21
50,0.5,3.1,0.532,3.17,0.467,3.09,0.526,3.61,0.487,3.13,0.533,2.8,0.476,2.95,0.45,4.4
51,0.5,3.36,0.5,3.11,0.5,3.26,0.549,3.02,0.543,3.43,0.517,2.66,0.333,3.06,0.524,3.62
52,0.528,2.62,0.6,3.32,0.396,3.44,0.684,2.97,0.526,3.32,0.586,2.83,0.471,2.53,0.579,2.84
53,0.523,3.34,0.529,2.88,0.5,3.19,0.729,3.38,0.588,2.76,0.517,2.72,0.688,2.88,0.667,3.44
54,0.622,3.69,0.5,3.24,0.475,2.68,0.578,2.91,0.442,3.16,0.444,2.81,0.476,3.0,0.6,3.6
55,0.467,2.98,0.667,3.11,0.512,3.24,0.723,3.17,0.513,2.95,0.476,2.29,0.538,2.88,0.667,3.11
56,0.487,3.18,0.512,2.77,0.5,2.7,0.7,3.08,0.5,2.83,0.577,2.96,0.455,2.95,0.6,4.05
57,0.667,3.56,0.579,3.32,0.452,3.02,0.627,3.04,0.432,3.16,0.385,3.08,0.706,2.88,0.474,3.05
58,0.48,2.92,0.382,3.26,0.375,3.2,0.595,2.43,0.474,3.66,0.625,3.71,0.619,2.71,0.588,3.18
59,0.614,3.02,0.605,3.44,0.4,2.93,0.682,3.18,0.538,2.77,0.444,3.19,0.45,3.05,0.45,3.0
60,0.65,3.3,0.674,2.48,0.51,3.2,0.812,2.96,0.474,2.63,0.542,3.12,0.529,1.94,0.55,3.4
61,0.569,2.96,0.587,3.39,0.477,3.43,0.575,2.7,0.639,2.67,0.583,3.33,0.773,3.18,0.579,3.37
62,0.512,3.09,0.472,3.17,0.4,3.1,0.608,3.1,0.556,2.83,0.565,2.22,0.733,3.4,0.727,3.18
63,0.614,3.57,0.412,2.92,0.444,2.89,0.641,3.08,0.429,2.8,0.52,2.96,0.476,2.86,0.591,3.05
64,0.643,3.33,0.565,2.96,0.549,3.69,0.78,2.98,0.452,3.02,0.619,2.95,0.619,2.95,0.5,2.89
65,0.604,2.96,0.556,3.11,0.46,2.94,0.708,3.31,0.543,3.17,0.696,2.22,0.571,2.57,0.579,2.37
66,0.653,3.27,0.489,3.47,0.523,3.32,0.674,3.51,0.486,2.83,0.586,3.03,0.667,3.0,0.529,3.53
67,0.524,2.81,0.58,3.46,0.439,3.54,0.529,3.35,0.5,2.93,0.536,2.82,0.722,3.56,0.409,3.5
68,0.54,2.84,0.698,3.02,0.449,3.2,0.682,3.89,0.438,2.72,0.5,3.27,0.538,3.54,0.476,3.29
69,0.647,3.47,0.561,3.59,0.383,3.34,0.619,2.81,0.531,3.22,0.643,2.96,0.81,2.67,0.4,3.8
70,0.531,3.41,0.675,3.15,0.367,2.82,0.708,3.33,0.559,3.56,0.571,3.11,0.611,3.33,0.562,3.25
71,0.535,3.23,0.558,2.9,0.583,3.25,0.591,2.89,0.419,3.19,0.667,2.96,0.737,3.32,0.429,2.81
72,0.667,3.0,0.652,2.63,0.361,3.22,0.591,3.43,0.575,3.22,0.613,2.42,0.542,2.62,0.579,2.58
73,0.59,3.0,0.512,2.77,0.48,3.12,0.667,3.33,0.459,3.03,0.5,3.43,0.609,3.7,0.55,4.2
74,0.465,3.21,0.455,2.75,0.419,3.14,0.647,2.88,0.429,3.69,0.667,3.37,0.588,3.06,0.409,2.64
75,0.644,3.2,0.48,3.26,0.391,3.0,0.629,3.34,0.459,3.51,0.556,2.96,0.667,3.24,0.381,3.43
76,0.419,2.86,0.568,3.18,0.48,3.08,0.512,3.3,0.475,3.0,0.565,3.04,0.6,3.0,0.526,3.11
77,0.587,2.61,0.617,3.11,0.37,3.26,0.711,3.13,0.5,2.91,0.52,3.16,0.474,3.53,0.4,2.7
78,0.535,2.98,0.535,2.93,0.477,3.09,0.66,2.96,0.474,3.26,0.56,3.88,0.632,2.84,0.391,3.0
79,0.6,2.87,0.58,3.22,0.538,3.28,0.674,3.15,0.429,2.43,0.571,3.14,0.5,2.75,0.455,2.91
80,0.558,3.3,0.5,3.19,0.405,3.0,0.627,2.96,0.45,2.58,0.444,3.48,0.579,3.05,0.722,3.17
81,0.605,3.37,0.523,2.95,0.533,3.44,0.538,3.48,0.606,2.79,0.52,3.48,0.6,3.45,0.6,2.95
82,0.545,3.23,0.5,3.3,0.523,3.5,0.592,3.29,0.639,3.11,0.667,3.17,0.5,3.5,0.692,3.23
83,0.524,2.64,0.61,3.05,0.458,3.04,0.609,3.5,0.469,2.91,0.387,3.42,0.579,2.53,0.565,3.17
84,0.5,2.83,0.578,3.27,0.5,3.16,0.625,2.94,0.457,3.31,0.6,3.05,0.696,3.61,0.526,3.21
85,0.6,3.11,0.574,3.04,0.41,2.87,0.578,2.71,0.558,2.63,0.56,3.32,0.529,3.18,0.667,2.9
86,0.788,3.15,0.55,3.32,0.553,3.36,0.756,3.33,0.462,3.1,0.6,4.0,0.722,3.83,0.5,3.06
87,0.667,3.1,0.58,3.24,0.681,3.43,0.5,3.32,0.379,2.93,0.414,3.21,0.55,3.5,0.368,3.42
88,0.476,3.36,0.511,2.89,0.596,3.23,0.571,3.26,0.541,3.11,0.586,2.86,0.625,3.06,0.588,3.76
89,0.533,2.91,0.524,3.14,0.35,2.68,0.566,3.28,0.476,3.02,0.636,2.41,0.647,3.59,0.429,2.62
90,0.511,3.09,0.705,2.98,0.426,2.57,0.538,3.29,0.394,3.73,0.519,2.93,0.846,3.85,0.737,2.95
91,0.5,3.55,0.553,2.96,0.568,3.54,0.608,2.88,0.4,3.08,0.429,2.93,0.619,2.62,0.45,2.75
92,0.542,3.56,0.537,3.0,0.5,3.35,0.548,2.86,0.541,3.24,0.438,3.19,0.524,3.48,0.476,3.29
93,0.767,3.26,0.467,2.96,0.538,3.64,0.522,3.04,0.442,2.79,0.542,2.54,0.476,2.71,0.571,3.1
94,0.581,2.86,0.6,3.22,0.622,3.56,0.717,3.02,0.553,3.0,0.579,2.95,0.611,2.89,0.571,3.1
95,0.479,3.69,0.56,2.96,0.375,3.05,0.604,3.12,0.278,3.11,0.737,3.16,0.684,2.53,0.409,3.32
96,0.634,3.1,0.457,3.17,0.34,2.81,0.5,3.25,0.324,3.08,0.464,3.18,0.5,3.3,0.474,3.58
97,0.514,3.27,0.591,2.86,0.468,3.34,0.636,3.53,0.371,3.11,0.423,3.19,0.526,3.21,0.684,3.11
98,0.591,2.77,0.543,3.02,0.5,2.6,0.581,3.16,0.394,2.7,0.656,3.09,0.455,3.68,0.45,3.6
99,0.667,2.71,0.625,3.42,0.524,3.0,0.545,2.73,0.349,2.81,0.52,2.84,0.773,2.95,0.667,3.0
100,0.395,3.29,0.523,3.18,0.478,2.83,0.727,2.98,0.476,2.79,0.5,2.67,0.619,3.38,0.647,3.24
