questionId,title,titleSlug,difficulty,topic
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,MEDIUM,Strings
6,Zigzag Conversion,zigzag-conversion,MEDIUM,Strings
8,String to Integer (atoi),string-to-integer-atoi,MEDIUM,Strings
12,Integer to Roman,integer-to-roman,MEDIUM,Strings
13,Roman to Integer,roman-to-integer,EASY,Strings
14,Longest Common Prefix,longest-common-prefix,EASY,Strings
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,EASY,Strings
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,HARD,Strings
38,Count and Say,count-and-say,MEDIUM,Strings
43,Multiply Strings,multiply-strings,MEDIUM,Strings
49,Group Anagrams,group-anagrams,MEDIUM,Strings
58,Length of Last Word,length-of-last-word,EASY,Strings
65,Valid Number,valid-number,HARD,Strings
67,Add Binary,add-binary,EASY,Strings
68,Text Justification,text-justification,HARD,Strings
76,Minimum Window Substring,minimum-window-substring,HARD,Strings
125,Valid Palindrome,valid-palindrome,EASY,Strings
151,Reverse Words in a String,reverse-words-in-a-string,MEDIUM,Strings
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,MEDIUM,Strings
161,One Edit Distance,one-edit-distance,MEDIUM,Strings
165,Compare Version Numbers,compare-version-numbers,MEDIUM,Strings
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,MEDIUM,Strings
168,Excel Sheet Column Title,excel-sheet-column-title,EASY,Strings
171,Excel Sheet Column Number,excel-sheet-column-number,EASY,Strings
179,Largest Number,largest-number,MEDIUM,Strings
186,Reverse Words in a String II,reverse-words-in-a-string-ii,MEDIUM,Strings
187,Repeated DNA Sequences,repeated-dna-sequences,MEDIUM,Strings
205,Isomorphic Strings,isomorphic-strings,EASY,Strings
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,MEDIUM,Strings
214,Shortest Palindrome,shortest-palindrome,HARD,Strings
242,Valid Anagram,valid-anagram,EASY,Strings
243,Shortest Word Distance,shortest-word-distance,EASY,Strings
244,Shortest Word Distance II,shortest-word-distance-ii,MEDIUM,Strings
245,Shortest Word Distance III,shortest-word-distance-iii,MEDIUM,Strings
246,Strobogrammatic Number,strobogrammatic-number,EASY,Strings
249,Group Shifted Strings,group-shifted-strings,MEDIUM,Strings
266,Palindrome Permutation,palindrome-permutation,EASY,Strings
271,Encode and Decode Strings,encode-and-decode-strings,MEDIUM,Strings
288,Unique Word Abbreviation,unique-word-abbreviation,MEDIUM,Strings
290,Word Pattern,word-pattern,EASY,Strings
293,Flip Game,flip-game,EASY,Strings
299,Bulls and Cows,bulls-and-cows,MEDIUM,Strings
318,Maximum Product of Word Lengths,maximum-product-of-word-lengths,MEDIUM,Strings
336,Palindrome Pairs,palindrome-pairs,HARD,Strings
340,Longest Substring with At Most K Distinct Characters,longest-substring-with-at-most-k-distinct-characters,MEDIUM,Strings
344,Reverse String,reverse-string,EASY,Strings
345,Reverse Vowels of a String,reverse-vowels-of-a-string,EASY,Strings
358,Rearrange String k Distance Apart,rearrange-string-k-distance-apart,HARD,Strings
383,Ransom Note,ransom-note,EASY,Strings
389,Find the Difference,find-the-difference,EASY,Strings
405,Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,EASY,Strings
408,Valid Word Abbreviation,valid-word-abbreviation,EASY,Strings
409,Longest Palindrome,longest-palindrome,EASY,Strings
412,Fizz Buzz,fizz-buzz,EASY,Strings
415,Add Strings,add-strings,EASY,Strings
420,Strong Password Checker,strong-password-checker,HARD,Strings
423,Reconstruct Original Digits from English,reconstruct-original-digits-from-english,MEDIUM,Strings
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,MEDIUM,Strings
434,Number of Segments in a String,number-of-segments-in-a-string,EASY,Strings
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,MEDIUM,Strings
443,String Compression,string-compression,MEDIUM,Strings
451,Sort Characters By Frequency,sort-characters-by-frequency,MEDIUM,Strings
459,Repeated Substring Pattern,repeated-substring-pattern,EASY,Strings
468,Validate IP Address,validate-ip-address,MEDIUM,Strings
481,Magical String,magical-string,MEDIUM,Strings
482,License Key Formatting,license-key-formatting,EASY,Strings
500,Keyboard Row,keyboard-row,EASY,Strings
504,Base 7,base-7,EASY,Strings
520,Detect Capital,detect-capital,EASY,Strings
521,Longest Uncommon Subsequence I,longest-uncommon-subsequence-i,EASY,Strings
522,Longest Uncommon Subsequence II,longest-uncommon-subsequence-ii,MEDIUM,Strings
524,Longest Word in Dictionary through Deleting,longest-word-in-dictionary-through-deleting,MEDIUM,Strings
527,Word Abbreviation,word-abbreviation,HARD,Strings
535,Encode and Decode TinyURL,encode-and-decode-tinyurl,MEDIUM,Strings
537,Complex Number Multiplication,complex-number-multiplication,MEDIUM,Strings
539,Minimum Time Difference,minimum-time-difference,MEDIUM,Strings
541,Reverse String II,reverse-string-ii,EASY,Strings
551,Student Attendance Record I,student-attendance-record-i,EASY,Strings
555,Split Concatenated Strings,split-concatenated-strings,MEDIUM,Strings
556,Next Greater Element III,next-greater-element-iii,MEDIUM,Strings
557,Reverse Words in a String III,reverse-words-in-a-string-iii,EASY,Strings
564,Find the Closest Palindrome,find-the-closest-palindrome,HARD,Strings
567,Permutation in String,permutation-in-string,MEDIUM,Strings
588,Design In-Memory File System,design-in-memory-file-system,HARD,Strings
592,Fraction Addition and Subtraction,fraction-addition-and-subtraction,MEDIUM,Strings
599,Minimum Index Sum of Two Lists,minimum-index-sum-of-two-lists,EASY,Strings
604,Design Compressed String Iterator,design-compressed-string-iterator,EASY,Strings
609,Find Duplicate File in System,find-duplicate-file-in-system,MEDIUM,Strings
616,Add Bold Tag in String,add-bold-tag-in-string,MEDIUM,Strings
635,Design Log Storage System,design-log-storage-system,MEDIUM,Strings
640,Solve the Equation,solve-the-equation,MEDIUM,Strings
648,Replace Words,replace-words,MEDIUM,Strings
657,Robot Return to Origin,robot-return-to-origin,EASY,Strings
677,Map Sum Pairs,map-sum-pairs,MEDIUM,Strings
680,Valid Palindrome II,valid-palindrome-ii,EASY,Strings
686,Repeated String Match,repeated-string-match,MEDIUM,Strings
692,Top K Frequent Words,top-k-frequent-words,MEDIUM,Strings
696,Count Binary Substrings,count-binary-substrings,EASY,Strings
709,To Lower Case,to-lower-case,EASY,Strings
720,Longest Word in Dictionary,longest-word-in-dictionary,MEDIUM,Strings
722,Remove Comments,remove-comments,MEDIUM,Strings
734,Sentence Similarity,sentence-similarity,EASY,Strings
745,Prefix and Suffix Search,prefix-and-suffix-search,HARD,Strings
748,Shortest Completing Word,shortest-completing-word,EASY,Strings
751,IP to CIDR,ip-to-cidr,MEDIUM,Strings
758,Bold Words in String,bold-words-in-string,MEDIUM,Strings
763,Partition Labels,partition-labels,MEDIUM,Strings
767,Reorganize String,reorganize-string,MEDIUM,Strings
771,Jewels and Stones,jewels-and-stones,EASY,Strings
777,Swap Adjacent in LR String,swap-adjacent-in-lr-string,MEDIUM,Strings
791,Custom Sort String,custom-sort-string,MEDIUM,Strings
796,Rotate String,rotate-string,EASY,Strings
800,Similar RGB Color,similar-rgb-color,EASY,Strings
804,Unique Morse Code Words,unique-morse-code-words,EASY,Strings
806,Number of Lines To Write String,number-of-lines-to-write-string,EASY,Strings
809,Expressive Words,expressive-words,MEDIUM,Strings
811,Subdomain Visit Count,subdomain-visit-count,MEDIUM,Strings
819,Most Common Word,most-common-word,EASY,Strings
820,Short Encoding of Words,short-encoding-of-words,MEDIUM,Strings
821,Shortest Distance to a Character,shortest-distance-to-a-character,EASY,Strings
824,Goat Latin,goat-latin,EASY,Strings
830,Positions of Large Groups,positions-of-large-groups,EASY,Strings
831,Masking Personal Information,masking-personal-information,MEDIUM,Strings
833,Find And Replace in String,find-and-replace-in-string,MEDIUM,Strings
843,Guess the Word,guess-the-word,HARD,Strings
848,Shifting Letters,shifting-letters,MEDIUM,Strings
859,Buddy Strings,buddy-strings,EASY,Strings
884,Uncommon Words from Two Sentences,uncommon-words-from-two-sentences,EASY,Strings
890,Find and Replace Pattern,find-and-replace-pattern,MEDIUM,Strings
893,Groups of Special-Equivalent Strings,groups-of-special-equivalent-strings,MEDIUM,Strings
899,Orderly Queue,orderly-queue,HARD,Strings
906,Super Palindromes,super-palindromes,HARD,Strings
916,Word Subsets,word-subsets,MEDIUM,Strings
917,Reverse Only Letters,reverse-only-letters,EASY,Strings
925,Long Pressed Name,long-pressed-name,EASY,Strings
929,Unique Email Addresses,unique-email-addresses,EASY,Strings
937,Reorder Data in Log Files,reorder-data-in-log-files,MEDIUM,Strings
942,DI String Match,di-string-match,EASY,Strings
944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,EASY,Strings
953,Verifying an Alien Dictionary,verifying-an-alien-dictionary,EASY,Strings
955,Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,MEDIUM,Strings
966,Vowel Spellchecker,vowel-spellchecker,MEDIUM,Strings
972,Equal Rational Numbers,equal-rational-numbers,HARD,Strings
984,String Without AAA or BBB,string-without-aaa-or-bbb,MEDIUM,Strings
1002,Find Common Characters,find-common-characters,EASY,Strings
1016,Binary String With Substrings Representing 1 To N,binary-string-with-substrings-representing-1-to-n,MEDIUM,Strings
1023,Camelcase Matching,camelcase-matching,MEDIUM,Strings
1032,Stream of Characters,stream-of-characters,HARD,Strings
1041,Robot Bounded In Circle,robot-bounded-in-circle,MEDIUM,Strings
1058,Minimize Rounding Error to Meet Target,minimize-rounding-error-to-meet-target,MEDIUM,Strings
1065,Index Pairs of a String,index-pairs-of-a-string,EASY,Strings
1071,Greatest Common Divisor of Strings,greatest-common-divisor-of-strings,EASY,Strings
1078,Occurrences After Bigram,occurrences-after-bigram,EASY,Strings
1100,Find K-Length Substrings With No Repeated Characters,find-k-length-substrings-with-no-repeated-characters,MEDIUM,Strings
1108,Defanging an IP Address,defanging-an-ip-address,EASY,Strings
1119,Remove Vowels from a String,remove-vowels-from-a-string,EASY,Strings
1138,Alphabet Board Path,alphabet-board-path,MEDIUM,Strings
1152,Analyze User Website Visit Pattern,analyze-user-website-visit-pattern,MEDIUM,Strings
1153,String Transforms Into Another String,string-transforms-into-another-string,HARD,Strings
1154,Day of the Year,day-of-the-year,EASY,Strings
1156,Swap For Longest Repeated Character Substring,swap-for-longest-repeated-character-substring,MEDIUM,Strings
1160,Find Words That Can Be Formed by Characters,find-words-that-can-be-formed-by-characters,EASY,Strings
1163,Last Substring in Lexicographical Order,last-substring-in-lexicographical-order,HARD,Strings
1165,Single-Row Keyboard,single-row-keyboard,EASY,Strings
1166,Design File System,design-file-system,MEDIUM,Strings
1169,Invalid Transactions,invalid-transactions,MEDIUM,Strings
1177,Can Make Palindrome from Substring,can-make-palindrome-from-substring,MEDIUM,Strings
1178,Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,HARD,Strings
